City,State,Demand_Orders,Category
Surat,Gujarat,35000,Solar & Renewable Components
Bhadla,Rajasthan,28000,Solar & Renewable Components
Rewa,Madhya Pradesh,22000,Solar & Renewable Components
Pavagada,Karnataka,26000,Solar & Renewable Components
Kurnool,Andhra Pradesh,21000,Solar & Renewable Components
Kamuthi,Tamil Nadu,19000,Solar & Renewable Components
Ahmedabad,Gujarat,25000,Solar & Renewable Components
Jodhpur,Rajasthan,18000,Solar & Renewable Components
Bengaluru,Karnataka,23000,Solar & Renewable Components
Hyderabad,Telangana,20000,Solar & Renewable Components
