City,State,Demand_Units,Latitude,Longitude
Bengaluru South,Karnataka,14200,12.8452,77.6602
Bengaluru North,Karnataka,16800,13.0358,77.5970
Bengaluru Whitefield,Karnataka,18500,12.9698,77.7499
Bengaluru Rajajinagar,Karnataka,11300,12.9982,77.5530
Mysuru,Karnataka,8400,12.2958,76.6394
Mandya,Karnataka,4200,12.5218,76.8951
Tumakuru,Karnataka,6100,13.3379,77.1010
Hassan,Karnataka,4500,13.0033,76.1004
Mangaluru,Karnataka,7800,12.9141,74.8560
Shivamogga,Karnataka,5400,13.9299,75.5681
Davangere,Karnataka,5900,14.4644,75.9218
Hubballi,Karnataka,9200,15.3647,75.1240
Belagavi,Karnataka,6800,15.8497,74.4977
Ballari,Karnataka,6200,15.1394,76.9214
Kalaburagi,Karnataka,5100,17.3297,76.8343
Vijayapura,Karnataka,4800,16.8302,75.7100
Udupi,Karnataka,3800,13.3409,74.7421
Hosapete,Karnataka,3600,15.2689,76.3909
Gadag,Karnataka,3200,15.4167,75.6333
Chitradurga,Karnataka,3900,14.2251,76.3980
Raichur,Karnataka,3500,16.2076,77.3463
Bidar,Karnataka,2900,17.9104,77.5199
Kolar,Karnataka,3100,13.1367,78.1291
Chikkamagaluru,Karnataka,2800,13.3161,75.7720
